A (base 10)   | A (base 8)       | A (binary)                                     | Output
35184372089037| 1000000000000315 | 1000000000000000000000000000000000000011001101 | 1,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089038| 1000000000000316 | 1000000000000000000000000000000000000011001110 | 7,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089039| 1000000000000317 | 1000000000000000000000000000000000000011001111 | 4,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089040| 1000000000000320 | 1000000000000000000000000000000000000011010000 | 5,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089041| 1000000000000321 | 1000000000000000000000000000000000000011010001 | 2,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089042| 1000000000000322 | 1000000000000000000000000000000000000011010010 | 4,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089043| 1000000000000323 | 1000000000000000000000000000000000000011010011 | 7,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089044| 1000000000000324 | 1000000000000000000000000000000000000011010100 | 2,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089045| 1000000000000325 | 1000000000000000000000000000000000000011010101 | 1,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089046| 1000000000000326 | 1000000000000000000000000000000000000011010110 | 7,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089047| 1000000000000327 | 1000000000000000000000000000000000000011010111 | 5,0,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089048| 1000000000000330 | 1000000000000000000000000000000000000011011000 | 4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089049| 1000000000000331 | 1000000000000000000000000000000000000011011001 | 0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089050| 1000000000000332 | 1000000000000000000000000000000000000011011010 | 0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089051| 1000000000000333 | 1000000000000000000000000000000000000011011011 | 7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089052| 1000000000000334 | 1000000000000000000000000000000000000011011100 | 2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089053| 1000000000000335 | 1000000000000000000000000000000000000011011101 | 1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089054| 1000000000000336 | 1000000000000000000000000000000000000011011110 | 7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089055| 1000000000000337 | 1000000000000000000000000000000000000011011111 | 5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089056| 1000000000000340 | 1000000000000000000000000000000000000011100000 | 3,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089057| 1000000000000341 | 1000000000000000000000000000000000000011100001 | 6,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089058| 1000000000000342 | 1000000000000000000000000000000000000011100010 | 4,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089059| 1000000000000343 | 1000000000000000000000000000000000000011100011 | 7,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089060| 1000000000000344 | 1000000000000000000000000000000000000011100100 | 2,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089061| 1000000000000345 | 1000000000000000000000000000000000000011100101 | 1,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089062| 1000000000000346 | 1000000000000000000000000000000000000011100110 | 6,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089063| 1000000000000347 | 1000000000000000000000000000000000000011100111 | 6,3,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089064| 1000000000000350 | 1000000000000000000000000000000000000011101000 | 2,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089065| 1000000000000351 | 1000000000000000000000000000000000000011101001 | 4,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089066| 1000000000000352 | 1000000000000000000000000000000000000011101010 | 0,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089067| 1000000000000353 | 1000000000000000000000000000000000000011101011 | 7,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089068| 1000000000000354 | 1000000000000000000000000000000000000011101100 | 2,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089069| 1000000000000355 | 1000000000000000000000000000000000000011101101 | 1,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089070| 1000000000000356 | 1000000000000000000000000000000000000011101110 | 6,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089071| 1000000000000357 | 1000000000000000000000000000000000000011101111 | 6,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089072| 1000000000000360 | 1000000000000000000000000000000000000011110000 | 1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089073| 1000000000000361 | 1000000000000000000000000000000000000011110001 | 2,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089074| 1000000000000362 | 1000000000000000000000000000000000000011110010 | 4,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089075| 1000000000000363 | 1000000000000000000000000000000000000011110011 | 7,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089076| 1000000000000364 | 1000000000000000000000000000000000000011110100 | 2,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089077| 1000000000000365 | 1000000000000000000000000000000000000011110101 | 1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089078| 1000000000000366 | 1000000000000000000000000000000000000011110110 | 6,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089079| 1000000000000367 | 1000000000000000000000000000000000000011110111 | 7,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089080| 1000000000000370 | 1000000000000000000000000000000000000011111000 | 0,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089081| 1000000000000371 | 1000000000000000000000000000000000000011111001 | 0,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089082| 1000000000000372 | 1000000000000000000000000000000000000011111010 | 0,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089083| 1000000000000373 | 1000000000000000000000000000000000000011111011 | 7,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089084| 1000000000000374 | 1000000000000000000000000000000000000011111100 | 2,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089085| 1000000000000375 | 1000000000000000000000000000000000000011111101 | 1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089086| 1000000000000376 | 1000000000000000000000000000000000000011111110 | 6,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089087| 1000000000000377 | 1000000000000000000000000000000000000011111111 | 7,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089088| 1000000000000400 | 1000000000000000000000000000000000000100000000 | 7,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089089| 1000000000000401 | 1000000000000000000000000000000000000100000001 | 6,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089090| 1000000000000402 | 1000000000000000000000000000000000000100000010 | 4,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089091| 1000000000000403 | 1000000000000000000000000000000000000100000011 | 7,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089092| 1000000000000404 | 1000000000000000000000000000000000000100000100 | 1,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089093| 1000000000000405 | 1000000000000000000000000000000000000100000101 | 6,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089094| 1000000000000406 | 1000000000000000000000000000000000000100000110 | 1,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089095| 1000000000000407 | 1000000000000000000000000000000000000100000111 | 0,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089096| 1000000000000410 | 1000000000000000000000000000000000000100001000 | 6,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089097| 1000000000000411 | 1000000000000000000000000000000000000100001001 | 4,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089098| 1000000000000412 | 1000000000000000000000000000000000000100001010 | 0,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089099| 1000000000000413 | 1000000000000000000000000000000000000100001011 | 7,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089100| 1000000000000414 | 1000000000000000000000000000000000000100001100 | 1,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089101| 1000000000000415 | 1000000000000000000000000000000000000100001101 | 6,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089102| 1000000000000416 | 1000000000000000000000000000000000000100001110 | 1,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089103| 1000000000000417 | 1000000000000000000000000000000000000100001111 | 0,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089104| 1000000000000420 | 1000000000000000000000000000000000000100010000 | 5,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089105| 1000000000000421 | 1000000000000000000000000000000000000100010001 | 2,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089106| 1000000000000422 | 1000000000000000000000000000000000000100010010 | 4,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089107| 1000000000000423 | 1000000000000000000000000000000000000100010011 | 7,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089108| 1000000000000424 | 1000000000000000000000000000000000000100010100 | 1,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089109| 1000000000000425 | 1000000000000000000000000000000000000100010101 | 6,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089110| 1000000000000426 | 1000000000000000000000000000000000000100010110 | 1,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089111| 1000000000000427 | 1000000000000000000000000000000000000100010111 | 1,4,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089112| 1000000000000430 | 1000000000000000000000000000000000000100011000 | 4,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089113| 1000000000000431 | 1000000000000000000000000000000000000100011001 | 0,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089114| 1000000000000432 | 1000000000000000000000000000000000000100011010 | 0,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089115| 1000000000000433 | 1000000000000000000000000000000000000100011011 | 7,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089116| 1000000000000434 | 1000000000000000000000000000000000000100011100 | 1,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089117| 1000000000000435 | 1000000000000000000000000000000000000100011101 | 6,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089118| 1000000000000436 | 1000000000000000000000000000000000000100011110 | 1,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089119| 1000000000000437 | 1000000000000000000000000000000000000100011111 | 1,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089120| 1000000000000440 | 1000000000000000000000000000000000000100100000 | 3,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089121| 1000000000000441 | 1000000000000000000000000000000000000100100001 | 6,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089122| 1000000000000442 | 1000000000000000000000000000000000000100100010 | 4,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089123| 1000000000000443 | 1000000000000000000000000000000000000100100011 | 7,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089124| 1000000000000444 | 1000000000000000000000000000000000000100100100 | 1,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089125| 1000000000000445 | 1000000000000000000000000000000000000100100101 | 6,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089126| 1000000000000446 | 1000000000000000000000000000000000000100100110 | 0,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089127| 1000000000000447 | 1000000000000000000000000000000000000100100111 | 2,3,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089128| 1000000000000450 | 1000000000000000000000000000000000000100101000 | 2,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089129| 1000000000000451 | 1000000000000000000000000000000000000100101001 | 4,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089130| 1000000000000452 | 1000000000000000000000000000000000000100101010 | 0,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089131| 1000000000000453 | 1000000000000000000000000000000000000100101011 | 7,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089132| 1000000000000454 | 1000000000000000000000000000000000000100101100 | 1,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089133| 1000000000000455 | 1000000000000000000000000000000000000100101101 | 6,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089134| 1000000000000456 | 1000000000000000000000000000000000000100101110 | 0,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089135| 1000000000000457 | 1000000000000000000000000000000000000100101111 | 2,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089136| 1000000000000460 | 1000000000000000000000000000000000000100110000 | 1,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089137| 1000000000000461 | 1000000000000000000000000000000000000100110001 | 2,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089138| 1000000000000462 | 1000000000000000000000000000000000000100110010 | 4,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089139| 1000000000000463 | 1000000000000000000000000000000000000100110011 | 7,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089140| 1000000000000464 | 1000000000000000000000000000000000000100110100 | 1,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089141| 1000000000000465 | 1000000000000000000000000000000000000100110101 | 6,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089142| 1000000000000466 | 1000000000000000000000000000000000000100110110 | 0,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089143| 1000000000000467 | 1000000000000000000000000000000000000100110111 | 3,0,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089144| 1000000000000470 | 1000000000000000000000000000000000000100111000 | 0,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089145| 1000000000000471 | 1000000000000000000000000000000000000100111001 | 0,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089146| 1000000000000472 | 1000000000000000000000000000000000000100111010 | 0,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089147| 1000000000000473 | 1000000000000000000000000000000000000100111011 | 7,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089148| 1000000000000474 | 1000000000000000000000000000000000000100111100 | 1,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089149| 1000000000000475 | 1000000000000000000000000000000000000100111101 | 6,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089150| 1000000000000476 | 1000000000000000000000000000000000000100111110 | 0,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089151| 1000000000000477 | 1000000000000000000000000000000000000100111111 | 3,2,3,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089152| 1000000000000500 | 1000000000000000000000000000000000000101000000 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089153| 1000000000000501 | 1000000000000000000000000000000000000101000001 | 6,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089154| 1000000000000502 | 1000000000000000000000000000000000000101000010 | 4,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089155| 1000000000000503 | 1000000000000000000000000000000000000101000011 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089156| 1000000000000504 | 1000000000000000000000000000000000000101000100 | 1,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089157| 1000000000000505 | 1000000000000000000000000000000000000101000101 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089158| 1000000000000506 | 1000000000000000000000000000000000000101000110 | 3,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089159| 1000000000000507 | 1000000000000000000000000000000000000101000111 | 4,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089160| 1000000000000510 | 1000000000000000000000000000000000000101001000 | 6,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089161| 1000000000000511 | 1000000000000000000000000000000000000101001001 | 4,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089162| 1000000000000512 | 1000000000000000000000000000000000000101001010 | 0,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089163| 1000000000000513 | 1000000000000000000000000000000000000101001011 | 7,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089164| 1000000000000514 | 1000000000000000000000000000000000000101001100 | 1,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089165| 1000000000000515 | 1000000000000000000000000000000000000101001101 | 7,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089166| 1000000000000516 | 1000000000000000000000000000000000000101001110 | 3,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089167| 1000000000000517 | 1000000000000000000000000000000000000101001111 | 4,4,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089168| 1000000000000520 | 1000000000000000000000000000000000000101010000 | 5,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089169| 1000000000000521 | 1000000000000000000000000000000000000101010001 | 2,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089170| 1000000000000522 | 1000000000000000000000000000000000000101010010 | 4,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089171| 1000000000000523 | 1000000000000000000000000000000000000101010011 | 7,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089172| 1000000000000524 | 1000000000000000000000000000000000000101010100 | 1,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089173| 1000000000000525 | 1000000000000000000000000000000000000101010101 | 7,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089174| 1000000000000526 | 1000000000000000000000000000000000000101010110 | 3,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089175| 1000000000000527 | 1000000000000000000000000000000000000101010111 | 5,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089176| 1000000000000530 | 1000000000000000000000000000000000000101011000 | 4,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089177| 1000000000000531 | 1000000000000000000000000000000000000101011001 | 0,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089178| 1000000000000532 | 1000000000000000000000000000000000000101011010 | 0,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089179| 1000000000000533 | 1000000000000000000000000000000000000101011011 | 7,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089180| 1000000000000534 | 1000000000000000000000000000000000000101011100 | 1,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089181| 1000000000000535 | 1000000000000000000000000000000000000101011101 | 7,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089182| 1000000000000536 | 1000000000000000000000000000000000000101011110 | 3,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089183| 1000000000000537 | 1000000000000000000000000000000000000101011111 | 5,7,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089184| 1000000000000540 | 1000000000000000000000000000000000000101100000 | 3,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089185| 1000000000000541 | 1000000000000000000000000000000000000101100001 | 6,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089186| 1000000000000542 | 1000000000000000000000000000000000000101100010 | 4,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089187| 1000000000000543 | 1000000000000000000000000000000000000101100011 | 7,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089188| 1000000000000544 | 1000000000000000000000000000000000000101100100 | 1,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089189| 1000000000000545 | 1000000000000000000000000000000000000101100101 | 7,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089190| 1000000000000546 | 1000000000000000000000000000000000000101100110 | 2,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089191| 1000000000000547 | 1000000000000000000000000000000000000101100111 | 6,3,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089192| 1000000000000550 | 1000000000000000000000000000000000000101101000 | 2,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089193| 1000000000000551 | 1000000000000000000000000000000000000101101001 | 4,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089194| 1000000000000552 | 1000000000000000000000000000000000000101101010 | 0,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089195| 1000000000000553 | 1000000000000000000000000000000000000101101011 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089196| 1000000000000554 | 1000000000000000000000000000000000000101101100 | 1,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089197| 1000000000000555 | 1000000000000000000000000000000000000101101101 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089198| 1000000000000556 | 1000000000000000000000000000000000000101101110 | 2,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089199| 1000000000000557 | 1000000000000000000000000000000000000101101111 | 6,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089200| 1000000000000560 | 1000000000000000000000000000000000000101110000 | 1,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089201| 1000000000000561 | 1000000000000000000000000000000000000101110001 | 2,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089202| 1000000000000562 | 1000000000000000000000000000000000000101110010 | 4,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089203| 1000000000000563 | 1000000000000000000000000000000000000101110011 | 7,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089204| 1000000000000564 | 1000000000000000000000000000000000000101110100 | 1,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089205| 1000000000000565 | 1000000000000000000000000000000000000101110101 | 7,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089206| 1000000000000566 | 1000000000000000000000000000000000000101110110 | 2,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089207| 1000000000000567 | 1000000000000000000000000000000000000101110111 | 7,0,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089208| 1000000000000570 | 1000000000000000000000000000000000000101111000 | 0,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089209| 1000000000000571 | 1000000000000000000000000000000000000101111001 | 0,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089210| 1000000000000572 | 1000000000000000000000000000000000000101111010 | 0,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089211| 1000000000000573 | 1000000000000000000000000000000000000101111011 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089212| 1000000000000574 | 1000000000000000000000000000000000000101111100 | 1,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089213| 1000000000000575 | 1000000000000000000000000000000000000101111101 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089214| 1000000000000576 | 1000000000000000000000000000000000000101111110 | 2,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089215| 1000000000000577 | 1000000000000000000000000000000000000101111111 | 7,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089216| 1000000000000600 | 1000000000000000000000000000000000000110000000 | 7,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089217| 1000000000000601 | 1000000000000000000000000000000000000110000001 | 6,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089218| 1000000000000602 | 1000000000000000000000000000000000000110000010 | 4,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089219| 1000000000000603 | 1000000000000000000000000000000000000110000011 | 7,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089220| 1000000000000604 | 1000000000000000000000000000000000000110000100 | 0,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089221| 1000000000000605 | 1000000000000000000000000000000000000110000101 | 4,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089222| 1000000000000606 | 1000000000000000000000000000000000000110000110 | 5,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089223| 1000000000000607 | 1000000000000000000000000000000000000110000111 | 0,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089224| 1000000000000610 | 1000000000000000000000000000000000000110001000 | 6,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089225| 1000000000000611 | 1000000000000000000000000000000000000110001001 | 4,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089226| 1000000000000612 | 1000000000000000000000000000000000000110001010 | 0,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089227| 1000000000000613 | 1000000000000000000000000000000000000110001011 | 7,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089228| 1000000000000614 | 1000000000000000000000000000000000000110001100 | 0,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089229| 1000000000000615 | 1000000000000000000000000000000000000110001101 | 4,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089230| 1000000000000616 | 1000000000000000000000000000000000000110001110 | 5,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089231| 1000000000000617 | 1000000000000000000000000000000000000110001111 | 0,2,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089232| 1000000000000620 | 1000000000000000000000000000000000000110010000 | 5,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089233| 1000000000000621 | 1000000000000000000000000000000000000110010001 | 2,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089234| 1000000000000622 | 1000000000000000000000000000000000000110010010 | 4,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089235| 1000000000000623 | 1000000000000000000000000000000000000110010011 | 7,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089236| 1000000000000624 | 1000000000000000000000000000000000000110010100 | 0,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089237| 1000000000000625 | 1000000000000000000000000000000000000110010101 | 4,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089238| 1000000000000626 | 1000000000000000000000000000000000000110010110 | 5,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089239| 1000000000000627 | 1000000000000000000000000000000000000110010111 | 1,4,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089240| 1000000000000630 | 1000000000000000000000000000000000000110011000 | 4,7,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
35184372089241| 1000000000000631 | 1000000000000000000000000000000000000110011001 | 0,7,1,7,7,7,7,7,7,7,7,7,7,7,6,6,
