A (base 10) | A (base 8) | A (binary) | Output
648         | 1210       | 1010001000 | 6,2,0,6,
649         | 1211       | 1010001001 | 4,2,0,6,
650         | 1212       | 1010001010 | 0,2,0,6,
651         | 1213       | 1010001011 | 7,2,0,6,
652         | 1214       | 1010001100 | 6,2,0,6,
653         | 1215       | 1010001101 | 0,2,0,6,
654         | 1216       | 1010001110 | 5,2,0,6,
655         | 1217       | 1010001111 | 0,2,0,6,
656         | 1220       | 1010010000 | 5,4,0,6,
657         | 1221       | 1010010001 | 2,4,0,6,
658         | 1222       | 1010010010 | 4,4,0,6,
659         | 1223       | 1010010011 | 7,4,0,6,
660         | 1224       | 1010010100 | 6,4,0,6,
661         | 1225       | 1010010101 | 0,4,0,6,
662         | 1226       | 1010010110 | 5,4,0,6,
663         | 1227       | 1010010111 | 1,4,0,6,
664         | 1230       | 1010011000 | 4,7,0,6,
665         | 1231       | 1010011001 | 0,7,0,6,
666         | 1232       | 1010011010 | 0,7,0,6,
667         | 1233       | 1010011011 | 7,7,0,6,
668         | 1234       | 1010011100 | 6,7,0,6,
669         | 1235       | 1010011101 | 0,7,0,6,
670         | 1236       | 1010011110 | 5,7,0,6,
671         | 1237       | 1010011111 | 1,7,0,6,
672         | 1240       | 1010100000 | 3,3,0,6,
673         | 1241       | 1010100001 | 6,3,0,6,
674         | 1242       | 1010100010 | 4,3,0,6,
675         | 1243       | 1010100011 | 7,3,0,6,
676         | 1244       | 1010100100 | 6,3,0,6,
677         | 1245       | 1010100101 | 0,3,0,6,
678         | 1246       | 1010100110 | 4,3,0,6,
679         | 1247       | 1010100111 | 2,3,0,6,
680         | 1250       | 1010101000 | 2,3,0,6,
681         | 1251       | 1010101001 | 4,3,0,6,
682         | 1252       | 1010101010 | 0,3,0,6,
683         | 1253       | 1010101011 | 7,3,0,6,
684         | 1254       | 1010101100 | 6,3,0,6,
685         | 1255       | 1010101101 | 0,3,0,6,
686         | 1256       | 1010101110 | 4,3,0,6,
687         | 1257       | 1010101111 | 2,3,0,6,
688         | 1260       | 1010110000 | 1,3,0,6,
689         | 1261       | 1010110001 | 2,3,0,6,
690         | 1262       | 1010110010 | 4,3,0,6,
691         | 1263       | 1010110011 | 7,3,0,6,
692         | 1264       | 1010110100 | 6,3,0,6,
693         | 1265       | 1010110101 | 0,3,0,6,
694         | 1266       | 1010110110 | 4,3,0,6,
695         | 1267       | 1010110111 | 3,3,0,6,
696         | 1270       | 1010111000 | 0,5,0,6,
697         | 1271       | 1010111001 | 0,5,0,6,
698         | 1272       | 1010111010 | 0,5,0,6,
699         | 1273       | 1010111011 | 7,5,0,6,
700         | 1274       | 1010111100 | 6,5,0,6,
701         | 1275       | 1010111101 | 0,5,0,6,
702         | 1276       | 1010111110 | 4,5,0,6,
703         | 1277       | 1010111111 | 3,5,0,6,
704         | 1300       | 1011000000 | 7,4,7,6,
705         | 1301       | 1011000001 | 6,4,7,6,
706         | 1302       | 1011000010 | 4,4,7,6,
707         | 1303       | 1011000011 | 7,4,7,6,
708         | 1304       | 1011000100 | 6,4,7,6,
709         | 1305       | 1011000101 | 1,4,7,6,
710         | 1306       | 1011000110 | 7,4,7,6,
711         | 1307       | 1011000111 | 4,4,7,6,
712         | 1310       | 1011001000 | 6,0,7,6,
713         | 1311       | 1011001001 | 4,0,7,6,
714         | 1312       | 1011001010 | 0,0,7,6,
715         | 1313       | 1011001011 | 7,0,7,6,
716         | 1314       | 1011001100 | 6,0,7,6,
717         | 1315       | 1011001101 | 1,0,7,6,
718         | 1316       | 1011001110 | 7,0,7,6,
719         | 1317       | 1011001111 | 4,0,7,6,
720         | 1320       | 1011010000 | 5,0,7,6,
721         | 1321       | 1011010001 | 2,0,7,6,
722         | 1322       | 1011010010 | 4,0,7,6,
723         | 1323       | 1011010011 | 7,0,7,6,
724         | 1324       | 1011010100 | 6,0,7,6,
725         | 1325       | 1011010101 | 1,0,7,6,
726         | 1326       | 1011010110 | 7,0,7,6,
727         | 1327       | 1011010111 | 5,0,7,6,
728         | 1330       | 1011011000 | 4,7,7,6,
729         | 1331       | 1011011001 | 0,7,7,6,
730         | 1332       | 1011011010 | 0,7,7,6,
731         | 1333       | 1011011011 | 7,7,7,6,
732         | 1334       | 1011011100 | 6,7,7,6,
733         | 1335       | 1011011101 | 1,7,7,6,
734         | 1336       | 1011011110 | 7,7,7,6,
735         | 1337       | 1011011111 | 5,7,7,6,
736         | 1340       | 1011100000 | 3,3,7,6,
737         | 1341       | 1011100001 | 6,3,7,6,
738         | 1342       | 1011100010 | 4,3,7,6,
739         | 1343       | 1011100011 | 7,3,7,6,
740         | 1344       | 1011100100 | 6,3,7,6,
741         | 1345       | 1011100101 | 1,3,7,6,
742         | 1346       | 1011100110 | 6,3,7,6,
743         | 1347       | 1011100111 | 6,3,7,6,
744         | 1350       | 1011101000 | 2,3,7,6,
745         | 1351       | 1011101001 | 4,3,7,6,
746         | 1352       | 1011101010 | 0,3,7,6,
747         | 1353       | 1011101011 | 7,3,7,6,
748         | 1354       | 1011101100 | 6,3,7,6,
749         | 1355       | 1011101101 | 1,3,7,6,
750         | 1356       | 1011101110 | 6,3,7,6,
751         | 1357       | 1011101111 | 6,3,7,6,
752         | 1360       | 1011110000 | 1,3,7,6,
753         | 1361       | 1011110001 | 2,3,7,6,
754         | 1362       | 1011110010 | 4,3,7,6,
755         | 1363       | 1011110011 | 7,3,7,6,
756         | 1364       | 1011110100 | 6,3,7,6,
757         | 1365       | 1011110101 | 1,3,7,6,
758         | 1366       | 1011110110 | 6,3,7,6,
759         | 1367       | 1011110111 | 7,3,7,6,
760         | 1370       | 1011111000 | 0,5,7,6,
761         | 1371       | 1011111001 | 0,5,7,6,
762         | 1372       | 1011111010 | 0,5,7,6,
763         | 1373       | 1011111011 | 7,5,7,6,
764         | 1374       | 1011111100 | 6,5,7,6,
765         | 1375       | 1011111101 | 1,5,7,6,
766         | 1376       | 1011111110 | 6,5,7,6,
767         | 1377       | 1011111111 | 7,5,7,6,
768         | 1400       | 1100000000 | 7,3,3,6,
769         | 1401       | 1100000001 | 6,3,3,6,
770         | 1402       | 1100000010 | 4,3,3,6,
771         | 1403       | 1100000011 | 7,3,3,6,
772         | 1404       | 1100000100 | 5,3,3,6,
773         | 1405       | 1100000101 | 6,3,3,6,
774         | 1406       | 1100000110 | 1,3,3,6,
775         | 1407       | 1100000111 | 0,3,3,6,
776         | 1410       | 1100001000 | 6,6,3,6,
777         | 1411       | 1100001001 | 4,6,3,6,
778         | 1412       | 1100001010 | 0,6,3,6,
779         | 1413       | 1100001011 | 7,6,3,6,
780         | 1414       | 1100001100 | 5,6,3,6,
781         | 1415       | 1100001101 | 6,6,3,6,
782         | 1416       | 1100001110 | 1,6,3,6,
783         | 1417       | 1100001111 | 0,6,3,6,
784         | 1420       | 1100010000 | 5,4,3,6,
785         | 1421       | 1100010001 | 2,4,3,6,
786         | 1422       | 1100010010 | 4,4,3,6,
787         | 1423       | 1100010011 | 7,4,3,6,
788         | 1424       | 1100010100 | 5,4,3,6,
789         | 1425       | 1100010101 | 6,4,3,6,
790         | 1426       | 1100010110 | 1,4,3,6,
791         | 1427       | 1100010111 | 1,4,3,6,
792         | 1430       | 1100011000 | 4,7,3,6,
793         | 1431       | 1100011001 | 0,7,3,6,
794         | 1432       | 1100011010 | 0,7,3,6,
795         | 1433       | 1100011011 | 7,7,3,6,
796         | 1434       | 1100011100 | 5,7,3,6,
797         | 1435       | 1100011101 | 6,7,3,6,
798         | 1436       | 1100011110 | 1,7,3,6,
799         | 1437       | 1100011111 | 1,7,3,6,
800         | 1440       | 1100100000 | 3,3,3,6,
801         | 1441       | 1100100001 | 6,3,3,6,
802         | 1442       | 1100100010 | 4,3,3,6,
803         | 1443       | 1100100011 | 7,3,3,6,
804         | 1444       | 1100100100 | 5,3,3,6,
805         | 1445       | 1100100101 | 6,3,3,6,
806         | 1446       | 1100100110 | 0,3,3,6,
807         | 1447       | 1100100111 | 2,3,3,6,
808         | 1450       | 1100101000 | 2,3,3,6,
809         | 1451       | 1100101001 | 4,3,3,6,
810         | 1452       | 1100101010 | 0,3,3,6,
811         | 1453       | 1100101011 | 7,3,3,6,
812         | 1454       | 1100101100 | 5,3,3,6,
813         | 1455       | 1100101101 | 6,3,3,6,
814         | 1456       | 1100101110 | 0,3,3,6,
815         | 1457       | 1100101111 | 2,3,3,6,
816         | 1460       | 1100110000 | 1,2,3,6,
817         | 1461       | 1100110001 | 2,2,3,6,
818         | 1462       | 1100110010 | 4,2,3,6,
819         | 1463       | 1100110011 | 7,2,3,6,
820         | 1464       | 1100110100 | 5,2,3,6,
821         | 1465       | 1100110101 | 6,2,3,6,
822         | 1466       | 1100110110 | 0,2,3,6,
823         | 1467       | 1100110111 | 3,2,3,6,
824         | 1470       | 1100111000 | 0,6,3,6,
825         | 1471       | 1100111001 | 0,6,3,6,
826         | 1472       | 1100111010 | 0,6,3,6,
827         | 1473       | 1100111011 | 7,6,3,6,
828         | 1474       | 1100111100 | 5,6,3,6,
829         | 1475       | 1100111101 | 6,6,3,6,
830         | 1476       | 1100111110 | 0,6,3,6,
831         | 1477       | 1100111111 | 3,6,3,6,
832         | 1500       | 1101000000 | 7,2,2,6,
833         | 1501       | 1101000001 | 6,2,2,6,
834         | 1502       | 1101000010 | 4,2,2,6,
835         | 1503       | 1101000011 | 7,2,2,6,
836         | 1504       | 1101000100 | 5,2,2,6,
837         | 1505       | 1101000101 | 7,2,2,6,
838         | 1506       | 1101000110 | 3,2,2,6,
839         | 1507       | 1101000111 | 4,2,2,6,
840         | 1510       | 1101001000 | 6,4,2,6,
841         | 1511       | 1101001001 | 4,4,2,6,
842         | 1512       | 1101001010 | 0,4,2,6,
843         | 1513       | 1101001011 | 7,4,2,6,
844         | 1514       | 1101001100 | 5,4,2,6,
845         | 1515       | 1101001101 | 7,4,2,6,
846         | 1516       | 1101001110 | 3,4,2,6,
847         | 1517       | 1101001111 | 4,4,2,6,
848         | 1520       | 1101010000 | 5,0,2,6,
849         | 1521       | 1101010001 | 2,0,2,6,
850         | 1522       | 1101010010 | 4,0,2,6,
851         | 1523       | 1101010011 | 7,0,2,6,
852         | 1524       | 1101010100 | 5,0,2,6,
853         | 1525       | 1101010101 | 7,0,2,6,
854         | 1526       | 1101010110 | 3,0,2,6,
855         | 1527       | 1101010111 | 5,0,2,6,
856         | 1530       | 1101011000 | 4,7,2,6,
857         | 1531       | 1101011001 | 0,7,2,6,
858         | 1532       | 1101011010 | 0,7,2,6,
859         | 1533       | 1101011011 | 7,7,2,6,
860         | 1534       | 1101011100 | 5,7,2,6,
861         | 1535       | 1101011101 | 7,7,2,6,
862         | 1536       | 1101011110 | 3,7,2,6,
863         | 1537       | 1101011111 | 5,7,2,6,
864         | 1540       | 1101100000 | 3,3,2,6,
865         | 1541       | 1101100001 | 6,3,2,6,
866         | 1542       | 1101100010 | 4,3,2,6,
867         | 1543       | 1101100011 | 7,3,2,6,
868         | 1544       | 1101100100 | 5,3,2,6,
869         | 1545       | 1101100101 | 7,3,2,6,
870         | 1546       | 1101100110 | 2,3,2,6,
871         | 1547       | 1101100111 | 6,3,2,6,
872         | 1550       | 1101101000 | 2,3,2,6,
873         | 1551       | 1101101001 | 4,3,2,6,
874         | 1552       | 1101101010 | 0,3,2,6,
875         | 1553       | 1101101011 | 7,3,2,6,
876         | 1554       | 1101101100 | 5,3,2,6,
877         | 1555       | 1101101101 | 7,3,2,6,
878         | 1556       | 1101101110 | 2,3,2,6,
879         | 1557       | 1101101111 | 6,3,2,6,
880         | 1560       | 1101110000 | 1,2,2,6,
881         | 1561       | 1101110001 | 2,2,2,6,
882         | 1562       | 1101110010 | 4,2,2,6,
883         | 1563       | 1101110011 | 7,2,2,6,
884         | 1564       | 1101110100 | 5,2,2,6,
885         | 1565       | 1101110101 | 7,2,2,6,
886         | 1566       | 1101110110 | 2,2,2,6,
887         | 1567       | 1101110111 | 7,2,2,6,
888         | 1570       | 1101111000 | 0,6,2,6,
889         | 1571       | 1101111001 | 0,6,2,6,
890         | 1572       | 1101111010 | 0,6,2,6,
891         | 1573       | 1101111011 | 7,6,2,6,
892         | 1574       | 1101111100 | 5,6,2,6,
893         | 1575       | 1101111101 | 7,6,2,6,
894         | 1576       | 1101111110 | 2,6,2,6,
895         | 1577       | 1101111111 | 7,6,2,6,
896         | 1600       | 1110000000 | 7,1,1,6,
897         | 1601       | 1110000001 | 6,1,1,6,
898         | 1602       | 1110000010 | 4,1,1,6,
899         | 1603       | 1110000011 | 7,1,1,6,
900         | 1604       | 1110000100 | 4,1,1,6,
901         | 1605       | 1110000101 | 4,1,1,6,
902         | 1606       | 1110000110 | 5,1,1,6,
903         | 1607       | 1110000111 | 0,1,1,6,
904         | 1610       | 1110001000 | 6,2,1,6,
905         | 1611       | 1110001001 | 4,2,1,6,
906         | 1612       | 1110001010 | 0,2,1,6,
907         | 1613       | 1110001011 | 7,2,1,6,
908         | 1614       | 1110001100 | 4,2,1,6,
909         | 1615       | 1110001101 | 4,2,1,6,
910         | 1616       | 1110001110 | 5,2,1,6,
911         | 1617       | 1110001111 | 0,2,1,6,
912         | 1620       | 1110010000 | 5,4,1,6,
913         | 1621       | 1110010001 | 2,4,1,6,
914         | 1622       | 1110010010 | 4,4,1,6,
915         | 1623       | 1110010011 | 7,4,1,6,
916         | 1624       | 1110010100 | 4,4,1,6,
917         | 1625       | 1110010101 | 4,4,1,6,
918         | 1626       | 1110010110 | 5,4,1,6,
919         | 1627       | 1110010111 | 1,4,1,6,
920         | 1630       | 1110011000 | 4,7,1,6,
921         | 1631       | 1110011001 | 0,7,1,6,
922         | 1632       | 1110011010 | 0,7,1,6,
923         | 1633       | 1110011011 | 7,7,1,6,
924         | 1634       | 1110011100 | 4,7,1,6,
925         | 1635       | 1110011101 | 4,7,1,6,
926         | 1636       | 1110011110 | 5,7,1,6,
927         | 1637       | 1110011111 | 1,7,1,6,
928         | 1640       | 1110100000 | 3,3,1,6,
929         | 1641       | 1110100001 | 6,3,1,6,
930         | 1642       | 1110100010 | 4,3,1,6,
931         | 1643       | 1110100011 | 7,3,1,6,
932         | 1644       | 1110100100 | 4,3,1,6,
933         | 1645       | 1110100101 | 4,3,1,6,
934         | 1646       | 1110100110 | 4,3,1,6,
935         | 1647       | 1110100111 | 2,3,1,6,
936         | 1650       | 1110101000 | 2,3,1,6,
937         | 1651       | 1110101001 | 4,3,1,6,
938         | 1652       | 1110101010 | 0,3,1,6,
939         | 1653       | 1110101011 | 7,3,1,6,
940         | 1654       | 1110101100 | 4,3,1,6,
941         | 1655       | 1110101101 | 4,3,1,6,
942         | 1656       | 1110101110 | 4,3,1,6,
943         | 1657       | 1110101111 | 2,3,1,6,
944         | 1660       | 1110110000 | 1,2,1,6,
945         | 1661       | 1110110001 | 2,2,1,6,
946         | 1662       | 1110110010 | 4,2,1,6,
947         | 1663       | 1110110011 | 7,2,1,6,
948         | 1664       | 1110110100 | 4,2,1,6,
949         | 1665       | 1110110101 | 4,2,1,6,
950         | 1666       | 1110110110 | 4,2,1,6,
951         | 1667       | 1110110111 | 3,2,1,6,
952         | 1670       | 1110111000 | 0,7,1,6,
953         | 1671       | 1110111001 | 0,7,1,6,
954         | 1672       | 1110111010 | 0,7,1,6,
955         | 1673       | 1110111011 | 7,7,1,6,
956         | 1674       | 1110111100 | 4,7,1,6,
957         | 1675       | 1110111101 | 4,7,1,6,
958         | 1676       | 1110111110 | 4,7,1,6,
959         | 1677       | 1110111111 | 3,7,1,6,
960         | 1700       | 1111000000 | 7,0,0,6,
961         | 1701       | 1111000001 | 6,0,0,6,
962         | 1702       | 1111000010 | 4,0,0,6,
963         | 1703       | 1111000011 | 7,0,0,6,
964         | 1704       | 1111000100 | 4,0,0,6,
965         | 1705       | 1111000101 | 5,0,0,6,
966         | 1706       | 1111000110 | 7,0,0,6,
967         | 1707       | 1111000111 | 4,0,0,6,
968         | 1710       | 1111001000 | 6,0,0,6,
969         | 1711       | 1111001001 | 4,0,0,6,
970         | 1712       | 1111001010 | 0,0,0,6,
971         | 1713       | 1111001011 | 7,0,0,6,
972         | 1714       | 1111001100 | 4,0,0,6,
973         | 1715       | 1111001101 | 5,0,0,6,
974         | 1716       | 1111001110 | 7,0,0,6,
975         | 1717       | 1111001111 | 4,0,0,6,
976         | 1720       | 1111010000 | 5,0,0,6,
977         | 1721       | 1111010001 | 2,0,0,6,
978         | 1722       | 1111010010 | 4,0,0,6,
979         | 1723       | 1111010011 | 7,0,0,6,
980         | 1724       | 1111010100 | 4,0,0,6,
981         | 1725       | 1111010101 | 5,0,0,6,
982         | 1726       | 1111010110 | 7,0,0,6,
983         | 1727       | 1111010111 | 5,0,0,6,
984         | 1730       | 1111011000 | 4,7,0,6,
985         | 1731       | 1111011001 | 0,7,0,6,
986         | 1732       | 1111011010 | 0,7,0,6,
987         | 1733       | 1111011011 | 7,7,0,6,
988         | 1734       | 1111011100 | 4,7,0,6,
989         | 1735       | 1111011101 | 5,7,0,6,
990         | 1736       | 1111011110 | 7,7,0,6,
991         | 1737       | 1111011111 | 5,7,0,6,
992         | 1740       | 1111100000 | 3,3,0,6,
993         | 1741       | 1111100001 | 6,3,0,6,
994         | 1742       | 1111100010 | 4,3,0,6,
995         | 1743       | 1111100011 | 7,3,0,6,
996         | 1744       | 1111100100 | 4,3,0,6,
997         | 1745       | 1111100101 | 5,3,0,6,
998         | 1746       | 1111100110 | 6,3,0,6,
999         | 1747       | 1111100111 | 6,3,0,6,
